seller_item_name,price,Predicted,Confidence
دوكسيرازول 30مجم كبسول,44.25,2629,1.00
لوبريكف شراب,28.5,2282,1.00
ايفيبرونت شراب**,45.0,965,1.00
زيثروكان500مجم اقراص سعر 77ج جديد,77.0,154,1.00
دوفاستون اقراص سعر جديد,386.0,52,1.00
فورماهيل  اقراص/فوراديل قديم,151.0,1746,1.00
ال كارنتين كبسول عادى52ج,72.0,666,1.00
اميجران  اقراص /العربية جديد,63.0,624,1.00
سيمباتكس 30 مجم 30كبسول س ج,228.0,268,1.00
ميزوسيبت  امبول-سعرقديم,23.5,771,1.00
لوبريكف 100مل شراب للكحه باكت 10,28.5,2282,1.00
كارباميد كريم  ممفيس جديد,35.0,1221,1.00
سيرتايد \250ديسكس,257.0,478,1.00
فليكتور 50 مجم 30 كبسول**,87.0,446,1.00
اسبريكارلو 81 اقراص العامريه,28.5,1619,1.00
كولوفرين دى 30 قرص,105.0,121,1.00
ويندبين 5مجم اقراص,21.0,2470,1.00
زنكوديرم لوسيون س جديييد,55.0,3701,1.00
كريستوليب 10 مجم 30 قرص,108.0,1055,1.00
نازوكورت بخاخ,151.0,414,1.00
اترابكس 4 كبسولة/ابيكس,26.0,2897,1.00
شوجارلو بلاس 1000 50 ق,136.5,1469,1.00
فليكس 16 مجم سبراى للانف,76.0,814,1.00
توينزول قطرة57.5ج,71.0,890,1.00
اجركس 75مجم 6شريط جديد,33.0,504,1.00
جراليبنتين300 اكس ار ,135.0,2285,1.00
فاسكولار 20مج 20ق س ج/سيديكو,18.0,2811,1.00
ليبراكس اقراص س 33,48.0,444,1.00
الفانوفا  0.15% قطرة,42.0,1261,1.00
تورسيريتك 10مجم جديد,93.0,1317,1.00
ال كارنتين شراب,70.0,1191,1.00
بكتى برو  شراب,29.5,2986,1.00
كلوفاتيل اقراص س جديد,63.0,427,1.00
فلدين  3امبول  سعر جديد,31.5,1649,1.00
سيتال شراب س ج,31.0,249,1.00
اوميز 10 مجم اقراص,40.0,2628,1.00
جليميبرايد بلس30/4مجم اقراص,93.0,867,1.00
دوكسيرازول30مم 14 قرص ,44.25,2629,1.00
بريموندين قطره س.ج,44.5,1822,1.00
كوردارون200 اقراص3شريط,48.0,1260,1.00
سنجيولير  10مجم اقراص,192.0,523,1.00
هاى فريش قطرة س ج*,75.0,277,1.00
تاروليميس مرهم س.ج,129.0,1022,1.00
اليكويس 5 مجم 20 قرص س.ج,406.0,146,1.00
لوفير 400 اقراص  278,76.0,1305,1.00
بيسكالدين 300مجم سعر 175جنيه  ركز,375.0,297,1.00
روتاسى60اقراص,19.0,1540,1.00
فليكس16جم سبراى للانف,76.0,814,1.00
داونوبرازول20  ك,74.0,1701,1.00
الكابرايد 50م  اقراص السعر الجديد,61.5,1356,1.00
سيكودال 3 مجم اقراص,198.0,3640,1.00
حمض فوليك ميباكو س.ج,20.0,1601,1.00
كونجيكلير1و0% قطرةعين5مل ,22.0,3734,1.00
رومارين امبول,27.0,2080,1.00
فورموهال 30كبسولة,151.0,1746,1.00
الكابرايد 50 اقراص,61.5,1356,1.00
تلفاست 180 مجم اقراص,105.0,193,1.00
اتاكاند16مجم س/ج,116.0,843,1.00
نوفيستوريك 10مجم,38.0,2620,1.00
الكابريس 10مجم 3شرائط,78.0,977,1.00
التيازيم اقراص سعر جديد,46.0,2006,1.00
كلوبكس 75مجم 30قرص,150.0,343,1.00
سويتال 75 كيس سعر جديد,85.0,1844,1.00
بانتازول 40 مجم 14قرص,104.0,590,1.00
الليربان  اقراص,24.0,2106,1.00
ايتوماش 50مجم 30 ق,39.0,1999,1.00
بران كبسول ميباكو,30.0,3598,1.00
الكابريس 10مجم 3شرييييط,78.0,977,1.00
سالبوفينت شـــراب,16.5,3114,1.00
فورماهيل كبسوسعر151ج,151.0,1746,1.00
ريسباتيو  20 قرص جديددد,94.0,2520,1.00
اماريل 3مجم -30قرص,61.5,252,1.00
سيريتيد 500 ديسكس س ج,316.0,472,1.00
كارباميد كريم/ممفيس س.ج,35.0,1221,1.00
لاميكتال 25 مجم اقراص,54.0,2869,1.00
نورجيسيك ق/ابيكو,26.0,1028,1.00
روسيتور10مجم اقراص,41.0,1446,1.00
لوبريكف شراب,28.5,2282,1.00
اوكاربون اقراص,84.0,250,1.00
ميوكوستا اقراص س ج,79.0,320,1.00
انتى كوكس 15مجم 2شريط**,73.5,1367,1.00
سيلوكينزوك 200مج 28ك س ج/استرازينيكا,103.0,2570,1.00
كتافلام 6 امبولات 67س.ج,83.0,323,1.00
تاريفيد 200 مجم 10قرص س ج,82.0,1225,1.00
ستاركوبريكس 5مجم اقراص,252.0,234,1.00
رومارين امبول**,27.0,2080,1.00
دياميكرون 30مجم  ام ار 30قرص,60.0,845,1.00
بيرفكت كير محلول عدسات 100جنيه,100.0,2635,1.00
اكتينون 20قرص /العربية,34.5,550,1.00
بلافكس 75مجم 28قرص يفتح عند الاستلام,311.0,5,1.00
زيثروماكس600 مجم شراب س ج/فايزر,61.0,668,1.00
اتورستات 40 مجم 14 قرص,76.0,2696,1.00
انافرانيل 75 مجم اقراص/س ج,75.0,279,1.00
كاندلكان 4مجم,40.0,3516,1.00
اوفيوسيدك قطره س ج 18ج,18.0,2355,1.00
اوريكس 60 مل اسبراى,68.0,2750,1.00
شوجارلو بلاس 50/1000 مجم 30 قرص,136.5,1469,1.00
اولفن 6 امبول س ج,39.0,1182,1.00
كارباميد كريم ممفيس س/ج,35.0,1221,1.00
سيلجون اقراص س ج,18.0,1059,1.00
ترايفستال ريتارد 30 قرص,47.5,2321,1.00
ديمرا اقراص س ج اكتوبر فارم,70.0,111,1.00
دايجينورم شراب,39.0,4398,1.00
الليربان شراب 100مل,21.0,2429,1.00
دوروفين كبسول س ج,153.0,87,1.00
فياجرا 50 مجم 4 ق-س.ج,78.0,383,1.00
لاسيكس 20مجم 3 امبول س جديد *,24.0,1084,1.00
بيبرا***اقراص ,103.0,291,1.00
بانتازول 14قرص,104.0,590,1.00
بريمونيدين قطره,44.5,1822,1.00
مايوديورا 10 مجم اقراص,69.0,4623,1.00
تلفاست 120جم اقراص,76.0,313,1.00
بيتولفكس  امبول س ج,64.0,117,1.00
ستروكا,145.0,1863,1.00
تادالونج 20مجم 4قرص س.ج,84.0,491,1.00
اليفو اقراص 2شريط,52.0,4213,1.00
مايوديورا10 /30قرص,69.0,4623,1.00
ميزوسيبت  امبول / س - ج,23.5,771,1.00
باكتيكلور 125 شراب س ج   ,73.0,3343,1.00
نيتروماك2.5 كبسول,96.0,333,1.00
انكونت اقراص,91.5,2078,1.00
ويست اير اكياس,70.0,4188,1.00
كاندلكان 4 مجم 14 ق,40.0,3516,1.00
فيلداجلوز بلاس 50/1000 بـ 147 جـ,147.0,9,1.00
زنكوديرم كريم,60.0,3517,1.00
ديبافالى اقراص عادى,116.0,3198,1.00
اوميجا 3 بلاس 30 كبسولة ,135.0,34,1.00
اوميجا 3 بلس كبسول/س ج,135.0,34,1.00
تاروليمس مرهم90ج,129.0,1022,1.00
تلفاست 180 مجم اقراص ,105.0,193,1.00
كال بريج كبسول سعر 40ج ركز,65.0,1651,1.00
اتور 10مجم ق س ج/ابيكو,33.0,639,1.00
ليبراكس 30قرص,48.0,444,1.00
بيتاسيرك 16مجم اقراص 3 شريط,219.0,372,1.00
اتور 40 مجم اقراص23/6,80.0,399,1.00
اجركس 75 مجم اقراص 60 قرررص راميدا,33.0,504,1.00
فاستر جيل كبير /الاسراء,32.0,8299,1.00
جابتين400مجم3شريط,156.0,96,1.00
كاندلكان 16مج 14قرص س.ج.,60.0,1513,1.00
ستاركوبريكس5مجم30قرص,252.0,234,1.00
تاروليمس كريم,129.0,1022,1.00
جابتين 100مجم 3شريط س ج**,81.0,645,1.00
بانتولوك 20مجم14ك,44.0,1257,1.00
كلوزابكس 25مجم - 50ق,50.0,1816,1.00
برونتوجيست 10امبول**,240.0,543,1.00
لوفير400اقراص2شريط ,76.0,1305,1.00
سويتال 75 كيس 1جرام س ج,85.0,1844,1.00
فيروترون  ك / 3 شريط,99.0,147,1.00
فيروجلوبين شراب65جنيه,65.0,1111,1.00
بليتال 100مجم قرص,144.0,992,1.00
املوديبين 5 مجم 30 قرص,43.5,6833,1.00
بيبون بلاس كبسول/ س ج,100.0,514,1.00
ريموواكس نقط اذن س 15.5,24.0,2506,1.00
دولفين 25 لبوس,38.0,505,1.00
ماكسيلاز شراب,57.0,137,1.00
كارنفيتا فورت كبسول س ج ,177.0,293,1.00
ابيمول لبوس,15.0,2359,1.00
فاسكولار اقراص,18.0,2811,1.00
برونشيكم شراب100مل س ج/سانوفي افنتس,49.0,160,1.00
موديوريتك سعر 15 ركزززز,15.0,2575,1.00
ماكسيكال شراب س.ج,48.0,3480,1.00
اماريل 4 مجم 30 قرص,79.5,213,1.00
املوديبين 5 مجم 30 قرص,43.5,6833,1.00
افوصويا300مجم س275جنيه ,350.0,1594,1.00
ابيكوتيل اقراص ,28.5,2155,1.00
كيتولاك اقراص س.ج,38.0,744,1.00
ابيكوتيل 20 مجم 10قرص  ,28.5,2155,1.00
لوبريكف شراب28.5ج ,28.5,2282,1.00
اليفو2شريييييططط جديددد,52.0,4213,1.00
برونشيكم شراب,49.0,160,1.00
بولى فريش اكستر قطره,150.0,9390,1.00
اليفو اقراص كيما فارما,52.0,4213,1.00
فاستل 180مجم اقراص,54.0,3752,1.00
ديكساميثازون امبول العامرية س جديد,36.0,58,1.00
اتاكاند 8مجم 14 قرص/ س ج,83.0,874,1.00
اندرال 10 مجم  اقراص,40.0,1036,1.00
كيتولاك اقراص,38.0,744,1.00
كولوفيرين دى سعر ج,105.0,121,1.00
كلوزابكس 25مجم - 50ق,50.0,1816,1.00
ستارفيل جل غسول وجه اخضر200جم,125.0,9532,1.00
اتوريزا 10/40   20 قرص,210.0,936,1.00
فورتيموكس بلاس قطره,39.0,1834,1.00
بيبرا 2 شريط,103.0,291,1.00
لارى برو   أقراص,44.0,980,1.00
ستارفيل غسول وجه200ملى,125.0,9532,1.00
نيورانتين 300مجم اقراص,80.0,421,1.00
كو افازير قطرة س.ج,29.0,1738,1.00
كتافاست اكياس/نوفارتس,72.0,46,1.00
ليفوهيستام شراب,39.0,1615,1.00
سلدافا3شريط91.50ج,91.5,179,1.00
دولفين 25مجم   أقماع 2 شريططط,38.0,505,1.00
ايزوجاست 20 مجم 14 ك,122.0,4762,1.00
نيوروباتكس ك 69 ج,134.0,712,1.00
انتوبرال20مجم14قرص,61.0,1538,1.00
جليبتس50مجم كبسول عادى سعر جديد  ,151.5,925,1.00
اتورستات 10مجم 14قرص /دلتا,40.0,3689,1.00
اوميز40مجم كبسول,130.0,144,1.00
فنتال بخاخه,50.0,796,1.00
تومكس بلس 50ق --- اتوس س جديد,60.0,4331,1.00
سيلوكينزوك 200 مجم -28 اقراص,103.0,2570,1.00
نافوبروكسين لبوس ,10.0,5159,1.00
اجركس75مم ق6شريط جديد,33.0,504,1.00
سولو فريش قطره  48ج س جديد,48.0,299,1.00
فاستر جل  ,32.0,8299,1.00
دولسيل 6 مجم اقراص/ سعر جديد,66.0,2450,1.00
سويتال 75 كيس  65ج,85.0,1844,1.00
ديبرام 20مجم 20ق--ابيكس,84.0,1969,1.00
ايفيبرونت شراب سعر 35جنيه //انتبه,45.0,965,1.00
دولوكسبرين60مم اقراص,162.0,2004,1.00
بليتال 50مجم 20 قرص اوتسوكا,92.0,1254,1.00
بيبون كبسول,35.0,4102,1.00
ديمرا 20 قرص---اكتوبر,70.0,111,1.00
ديكسافلوكس* قطرة,37.0,1255,1.00
سويتال 50كيس س.ج,85.0,670,1.00
نانازوكسيد شراب,39.0,918,1.00
كوليروز 5مجم 14 قرص,58.0,1979,1.00
سيلجون اقراص س.ج,18.0,1059,1.00
اليكاسال مرهم 30جم كبير,34.5,2473,1.00
تاريفيد 200مجم 10قرص**,82.0,1225,1.00
تارجوفلوكسين 750 شريطين,188.0,821,1.00
توب مود اقراص/الدلتا,17.5,4957,1.00
ناسكورت بخاخ,151.0,414,1.00
PEPON PLUS CAPS 20,100.0,514,1.00
ابل لايت 30ق س.ج,21.0,3797,1.00
جابتن 300 اقراص**جديددد,126.0,202,1.00
باى الكوفان 3شريط سعر جديد ,81.0,28,1.00
موبيتيل امبول قدييم,39.0,1484,1.00
سالبوفنت شراب جديد,16.5,3114,1.00
سبازموديجستين 30قرص س ج,78.0,106,1.00
براديبيكت 7.5 مجم,176.0,2414,1.00
ايمباكوزا25مجم اقراص,240.0,1471,1.00
نيرها سيلدسعر46جنيه ا لزقة ,64.0,Unknown,0.34
دياميكرون 30مجم ام ار 3شرائط س ق,60.0,845,1.00
دايت سويت 100قرص,34.0,3634,1.00
فاستل 180 مجم اقراص سعر جديد,54.0,3752,1.00
اديمكس 20قرص,18.0,3683,1.00
بانتازول40مجم اقراص س ج ,104.0,590,1.00
فلدين 20 اقراص فوارة س ج,28.0,2662,1.00
اكساميد10مجم  اقراص 88.5 ج جديد,88.5,449,1.00
سيلوكينزوك200مجم 28اقراص,103.0,2570,1.00
الجزال سيراكتيف كريم قديم,46.0,1563,1.00
لى فلوكس 750مجم 7قرص**,101.0,1764,1.00
روسيتور10مجم اقراص,41.0,1446,1.00
كارباميد  كريم ممفيس,35.0,1221,1.00
فاستل 120 اقراص,42.0,4384,1.00
كولوفيرين ايه اقراص,99.0,690,1.00
سبانيلا 35 ام ار 30 قرص,39.0,1603,1.00
اكساميد 10مجم اقراص88.50ج,88.5,449,1.00
اليكويس 5م س ج 325 /ركززززز,406.0,146,1.00
افيل 6 امبول * سعر ج,39.0,338,1.00
نيتروماك ريتارد 2.5 مج كبسول #,96.0,333,1.00
زنك اوليف كريم س.ج/المهن,69.0,588,1.00
دلتافيت ب12 جديد,75.0,294,1.00
اتورستات40مجم 14قرص,76.0,2696,1.00
مايوديورا10 /30قرص,69.0,4623,1.00
تادانيرف 20 م لاصقة/فياجرا,90.0,1885,1.00
برونتوجيست/10امبولات ,240.0,543,1.00
املوديبين 5مج قراص العامرية,43.5,6833,1.00
فورتيموكس قطره / احمررر,44.0,1243,1.00
فلدين 3امبوله,31.5,1649,1.00
روتاسى 60مجم 20قرص,19.0,1540,1.00
كوديلاترول 3 شرررررررررريط,52.5,4158,1.00
نافوبروكسين 5لبوس -الدلتا,10.0,5159,1.00
الليربان شراب * س ج,21.0,2429,1.00
كلوزابكس 25مجم - 50ق ,50.0,1816,1.00
جليبتس 50/1000 بلس ,192.0,116,1.00
الكابرايد 50مجم اقراص,61.5,1356,1.00
ترنتال400مجم اقراص قديم,56.0,360,1.00
سويتال 50 كيس,85.0,670,1.00
بليجكا قطره سعر 17.5ج,27.0,487,1.00
سليبريكس200سعرجديد3شريط,153.0,176,1.00
كالسيوم دى ثرى اف 30 قرص جديد,51.0,2137,1.00
اميولانت شراب,30.0,2542,1.00
اندرال 10 اقراص س ج,40.0,1036,1.00
سبيكتون 100مج 20 قرص,41.0,1206,1.00
ميكروسيرك 16مجم 20قرص,29.0,4743,1.00
ادابالين جيل 30 جم 16.5ج,34.0,2346,1.00
توينزول قطرة,71.0,890,1.00
جولد دش سعر جديد ,75.0,420,1.00
سى فيت نقط جديد 19.5,19.5,4881,1.00
بلجيكا نقط عين 10مل س ج,27.0,487,1.00
هيدروفيرين 30 مل نقط بالفم,44.0,1522,1.00
دوكسيرازول 60ملى 2شريط جدييييييييييييد,72.75,775,1.00
كوليروز 20مجم سعر جديددد,132.0,614,1.00
روسيتور 20مجم,58.0,1385,1.00
البافيت شراب بالحديد /ابكس سعر جديد ,27.0,1474,1.00
املوديبين 5مج -العامريه,43.5,6833,1.00
زيستريل 20مجم/10قرص,52.0,2374,1.00
برونكوبرو  نقط سعر جديد,19.5,3181,1.00
لوفير400مجم اقراص س.ج,76.0,1305,1.00
اتاكاند 16مجم عادى اقراص ,116.0,843,1.00
فاستفلام 50مجم اقراص جديد,36.0,642,1.00
اتور 10 مجم كبسول سعر قديم,33.0,639,1.00
اتوريزا 40/10اقراص,210.0,936,1.00
اتور 40 اقراص س ج,80.0,399,1.00
تكلو   أقراص,60.0,4582,1.00
كيتولاك  اقراص)سعر,38.0,744,1.00
اتور20مجم 10ق/ابيكو,59.0,319,1.00
اتاكاند 8مجم 14 قرص/ س ج,83.0,874,1.00
ديمرا اقراص 2 شريط/ س ج,70.0,111,1.00
اوركاديكسولين قطره,17.5,941,1.00
ايسوبتن 240 مجم اقراص سعر جديد,97.5,1394,1.00
تريفستال ريتارد 3 شريط,47.5,2321,1.00
الزميندا20م ق ,66.0,4093,1.00
تورسيريتك 10 اقراص ,93.0,1317,1.00
دانتريلاكس 3شريط جديد,147.0,1067,1.00
سوفيناسين 5مجم اقراص س.ج,141.0,993,1.00
سى فيت نقط**,19.5,4881,1.00
كولونا 3 شريط س ج,69.0,175,1.00
برافوتين 30كيس جديد,290.0,95,1.00
تريتاس 1.25مجم14قرص,44.0,1479,1.00
استوهالت 40 مجم 14 كبسولة(س.ج)0,56.5,1322,1.00
"ماكسيكال شراب""جديدد",48.0,3480,1.00
اندرال 40 س.ج,55.0,1457,1.00
باى الكوفان اقراص جديد,81.0,28,1.00
ديبرام 20,84.0,1969,1.00
اوتريفين 15مل بيبي سالين نقط #,13.0,762,1.00
بريمونيدين 5مل قطرة,44.5,1822,1.00
ازجوفانس 40 مجم كبسول س 35,47.5,2510,1.00
بانادول كولد اند فلو اصفر,76.0,166,1.00
فوليكاب 2.5مجم كبسول س ج,22.0,2385,1.00
باى الكوفان   اقراص جديد,81.0,28,1.00
فيروترون كبسول س ج,99.0,147,1.00
اندرال 10 - 50ق,40.0,1036,1.00
اماريل3مجم   3شرائط  61.5  ج,61.5,252,1.00
البافيت كالسيوم 60 مل شراب,26.0,2517,1.00
كو افازير قطرة س.ج,29.0,1738,1.00
دانست 4مجم 3امبوله س ج,82.5,209,1.00
دوسبتالين ريتارد 200مجم 30قرص,138.0,1091,1.00
سنجيولير  10مجم اقراص جديد,192.0,523,1.00
بولى فريش اكسترا ,150.0,9390,1.00
الليربان 100مل شراب,21.0,2429,1.00
تافاسين 750مجم اقراص,96.0,422,1.00
بليتال50مجم قرص,92.0,1254,1.00
جيستيكول 20 مجم 14 قرص,80.0,477,1.00
باوركتا4قرص احترس,58.0,330,1.00
بليتال 100مجم اقراص,144.0,992,1.00
اوبلكس ان شراب س ج/العامريه,31.0,101,1.00
ايرستابكس 40بلس 69ج,96.0,457,1.00
زيثروماكس 600شراب,61.0,668,1.00
ماكسيلاز   شراب 25ج,57.0,137,1.00
ديكساميثازون امبول /العامريه س ج سعر 19.5ج,36.0,58,1.00
اكساميد10مج 30قرص -ابيكس,88.5,449,1.00
ميزوسبت امبول سعر جديد,23.5,771,1.00
ديكلاك 150 مجم شريطين,132.0,1324,1.00
بترو اقراص س.ق,69.0,2737,1.00
جليبتس بلس 50\1000 اقراص,192.0,116,1.00
ميزوسبت امبول,23.5,771,1.00
تريتاس5مجم2شريط,57.0,854,1.00
سبازموديجستين 30 قرص سعر قديم,78.0,106,1.00
كانزارتان 300 مجم 30 قرص,109.5,4887,1.00
تلفاست 120مج 20ق سانوفي,76.0,313,1.00
ايراستابكس 40مجم اقراص,69.0,1316,1.00
فلاجيلات فورت شراب المهن س ج/جمله فقط,32.0,1666,1.00
سلدافا فياجرا100مجم,91.5,179,1.00
تيرزجارد قطره سعررررر جديد,30.0,1134,1.00
املوديبين 5مجم اقر اص,43.5,6833,1.00
دولسيل 1مجم 30قرص ,27.0,4750,1.00
نافوبروكسين اقماع س ج,10.0,5159,1.00
ناتريليكس اس ار اقراص س.ق,55.0,454,1.00
ناتريليكس اس ار س جدددديد,55.0,454,1.00
التيازيم 60مج 40ق س ج/ابيكو,46.0,2006,1.00
بانادول اكسترا 2 شريط صغير س.ج,54.0,10,1.00
اسبريكارلو  اقراص,28.5,1619,1.00
تراى ليرج قطرة س ج,24.0,836,1.00
تاروليمس مرهم 15جم س جديد,129.0,1022,1.00
اوكيو جارد 30 كبسول,120.0,1795,1.00
يوريكنترول اقراص,18.0,3501,1.00
نازوكورت سبراى,151.0,414,1.00
دوجماتيل فورت 200مج 10قرص,26.0,2441,1.00
كوردارون 30قرص سعر جديد 48ج,48.0,1260,1.00
انتوكس      اقراص,60.0,2599,1.00
كاردورا 1 مجم س ج,58.5,2529,1.00
سالبوفنت شراب,16.5,3114,1.00
ريفارست غسول,75.0,1414,1.00
بكتيكلور 125 شراب**,73.0,3343,1.00
اولفن 6 امبولات سعر جديد,39.0,1182,1.00
نيتروماك ريتارد 2.5 مج كبسول ,96.0,333,1.00
اكوا بلس شراب,45.0,1337,1.00
كلاريتين ق,110.0,178,1.00
سيكودال 2مجم اقراص س ج 126ج,126.0,3711,1.00
اولفنت شراب جديييد  15 جنيه***,34.0,169,1.00
توسيستوب شراب ,32.5,1720,1.00
ثيوتاسيد 300 مركب اقراص 109.5ج,168.0,1064,1.00
اماجلوست 2/30 مجم,67.5,2956,1.00
دورميفال      كبسول,30.0,3329,1.00
اتاكاند 16مجم اقراص,116.0,843,1.00
دوسباتالين ريتارد جديد,138.0,1091,1.00
ناتريلكس اس ار 30قرص سعر جديد,55.0,454,1.00
تيراتام500اكس ار/التنشيط اقراص,148.0,1218,1.00
ايميرست امبول 5 امبوله,112.5,460,1.00
فاروفيجا 100 مجم 3ش//الفرعونية,108.0,1143,1.00
دوليبران اقراص نوفالدول ,48.0,184,1.00
سيلوكينزوك 200 اقراص,103.0,2570,1.00
ويست اير اكياس جديد,70.0,4188,1.00
هيدروفيرين نقط للفم ,44.0,1522,1.00
فيافاج 100مجم اقراص,55.0,3545,1.00
تادانيرفى 20 مجم استحلاب,90.0,1885,1.00
اوميز 10مجم اقراص سعر جديد,40.0,2628,1.00
اوكيو جارد  كبسول/ س ج,120.0,1795,1.00
مونوماك 40 ملجم,19.25,2876,1.00
ابيكسيدون 1مجم20قرص,54.0,2226,1.00
كلوبكس 75مجم 30قرص,150.0,343,1.00
فوربيدوس400مجم60 كبسوله  #,334.0,370,1.00
موزابرايد 2.5مجم 10قرص,23.0,5590,1.00
تراى بى 6 امبول جديد ,44.0,1181,1.00
رومانتيجرا اقراص,37.5,1534,1.00
بيفاترسين اسبراى سعر ج,83.0,65,1.00
باى الكوفان 3 شريطط س 24.75,81.0,28,1.00
برافاماكس 200 مجم 10 قرص,122.0,701,1.00
كال بريج640جم 30قرص عادى,65.0,1651,1.00
بليتال 100مجم 20قرص س ج,144.0,992,1.00
اميرست* 4مجم/حقن=زوفران ,112.5,460,1.00
افوصويا 300مج كبسول س ج,350.0,1594,1.00
جليكودال 30قرص,57.0,1517,1.00
اوركس بخاخ سعر جديد,68.0,2750,1.00
اتوريزا 40/10مجم28 قرص ,210.0,936,1.00
تيرزجارد قطرة  س ج /19 ج,30.0,1134,1.00
ستروكا اقراص,145.0,1863,1.00
دولوكسيبرين60 مجم 28 قرص,162.0,2004,1.00
نوفيستوريتك20محم14قرص س ج,53.0,2013,1.00
انتى كوكس 6 امبول س * ج**,78.0,747,1.00
داونوسترين10/40  28ق,120.0,2453,1.00
هيموجيت شراب/العامرية سعر جديد ,37.5,1854,1.00
فيلدافورمين 1000/50مجم 30قرص,138.0,1003,1.00
فاسكولار اقراص 20قرص,18.0,2811,1.00
نازوكورت بخاخ,151.0,414,1.00
جاستيكول 20قرص,80.0,477,1.00
فورتيموكس 10مل قطره للعين ,44.0,1243,1.00
نوستامين قطرة س ج,15.0,1303,1.00
تاريفيد 200 مجم 10 قرص,82.0,1225,1.00
سليبريكس200 ق 3شريط س ج/فايزر,153.0,176,1.00
الليربان شراب جديد21 ج,21.0,2429,1.00
دولسيل6مجم ا30 قرص,66.0,2450,1.00
برافوتين 30 كيس سعر 185 ج,290.0,95,1.00
نانازوكسيد 60مل شراب س ج يوتوبيا,39.0,918,1.00
اولفنت شراب س ج,34.0,169,1.00
باى الكوفان ق ,81.0,28,1.00
جابتين 100 مجم سعر جديد,81.0,645,1.00
هيلسيك 40مجم اقراص ,73.0,1575,1.00
ار اكس كريم سعر جديد جديد,75.0,8771,1.00
روسيتور 10مجم اقراص س ج,41.0,1446,1.00
ميوكوستا 100مجم 20قرص,79.0,320,1.00
ماكسيلاز شراب100مل,57.0,137,1.00
سيلجون اقراص,18.0,1059,1.00
ايفيبرونت شراب س ج,45.0,965,1.00
برونتو بلس اقراص16 ج ,26.0,1751,1.00
سيريتيد250 بخاخه-س.ج,257.0,478,1.00
دوزين 1مجم اقراص,14.0,4403,1.00
فيروجلوبين شراب ,65.0,1111,1.00
بانتازول 40 مجم اقراص س جديد,104.0,590,1.00
تامسولين بلاس اقراص,148.0,1031,1.00
جينوزول كريم س ج ج ج ج,38.0,1334,1.00
نازوكورت بخاخ س.ج,151.0,414,1.00
نوفيستوريك 20مج ق س ج/المستقبل,53.0,2013,1.00
كلاريتين 100مل شراب ,40.0,1476,1.00
موزابرايد5مم  اقراص,91.5,1312,1.00
بانتالوك 40 مجم 14ق-س.ج,68.5,112,1.00
كونترولوك 20مج قرص جديد,100.0,285,1.00
جليسرين لبوس اطفال فاركو س ج,7.0,1721,1.00
تريفاستال ريتارد 50 مجم 30 قرص,47.5,2321,1.00
جليمابرايد 4/30  اقراص  س.ج,93.0,867,1.00
ايراستابكس 40بلس30ق,96.0,457,1.00
فابوزول استنشاق سعر جديد,19.5,3009,1.00
جراليبنتين 300 مجم قرص س.ج,135.0,2285,1.00
ميلجا4شريط*/ايفا01,108.0,4,1.00
بران  اقراص ميباكو,30.0,3598,1.00
فاروفيجا100 مجم 12 قرص 3 شرايط,108.0,1143,1.00
بلوكاتنس 10\160مجم 28قرص,160.0,1328,1.00
كلوبكس اقراص س قديم,150.0,343,1.00
دايجست ايز 20ك س ج/ويسترن,94.0,1955,1.00
الفانوفا قطرة42ج,42.0,1261,1.00
كلوفاتيل ق,63.0,427,1.00
الجازال كريم,46.0,1563,1.00
ايفوكسوراكس ار75مجم14كبسول ,122.0,1329,1.00
تادالونج 20مجم 4قرص س ج,84.0,491,1.00
ابيكسيدون 1 اقراص,54.0,2226,1.00
كروميوم كبسول س.ج,40.0,4115,1.00
نيتروماك  ريتارد2.5مجم اقراص,96.0,333,1.00
انتوبرال 40مجم 14قرص س ج,87.0,222,1.00
ميلوكين كريم 20جرام سعر جديد,40.5,1466,1.00
ديكلاك 150 مجم اقراص 2 شريطططططط,132.0,1324,1.00
LASIX TABS 40 MG 24,20.0,1705,1.00
لوفير400مجم 10ق 2شريط-س.ج,76.0,1305,1.00
اماريل 3مج30قرص  #,61.5,252,1.00
ايزوجاست 20 مج 14 قرص,122.0,4762,1.00
اتورستات 40مجم 14قرص,76.0,2696,1.00
الليربان شراب,21.0,2429,1.00
كاندلكان 32\12.5 مجم بلس 14قرص,102.0,1611,1.00
كوليروز 20جم سعر 79.5ج,132.0,614,1.00
تاروليموس مرهم س ج,129.0,1022,1.00
كلوبترا كريم س ج,26.0,1808,1.00
داونستيرلين 10/40,120.0,2453,1.00
تومكس  بلس ,60.0,4331,1.00
نيكسيكيور40مجم اقراص/س ج,152.0,242,1.00
اوبلكس ان شراب س ج,31.0,101,1.00
تلفاست شراب س ج ,50.0,237,1.00
فاست كيور40مجمممممم,58.0,994,1.00
اماريل 3مجم 30قرص س ج,61.5,252,1.00
املوديبين 5 مجم /3شريط,43.5,6833,1.00
البافيت 60مل شراب كالسيوم,26.0,2517,0.96
دوفاستون اقراص,386.0,52,1.00
فلاجيلات فورت شراب س ج,32.0,1666,1.00
جوسبرين81   3 شريط س 54,81.0,583,1.00
كانزارتان 300 اقراص,109.5,4887,1.00
زيرتك نقط,27.5,900,1.00
فلاجيلات فورت شراب جديد,32.0,1666,1.00
تورسيرتك5مجم ق,42.0,3562,1.00
بانتولوك 40مجم 14قرص/ س ج,68.5,112,1.00
